study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
1,73,Female,21,White,bp_ts,0.50,0.50,0.5,0.17,0.17,0.17,1,2,2,3,2.909090909090909
1,74,Female,21,White,bp_rec,0.50,0.50,1,0,0.27,0,3,6,1,1,2.4292929292929295
1,75,Female,20,White,bp_tj,NA,0.25,0,0,0,0,5,NA,2,NA,2.9545454545454546
1,76,Male,29,White,ba_tj,0.50,0.50,0.5,0.5,0.5,0.5,1,1,1,1,3.5555555555555554
1,77,Male,21,White,bp_ts,0.50,NA,0,0.17,0,0.17,4,4,3,3,3.3232323232323235
1,78,Female,22,Asian,bp_rec,0.25,0.25,1,0,0,0,3,4,3,5,3.48989898989899
1,79,Female,19,Hispanic,ba_ts,0.50,0.50,0.5,0.5,1,1,4,4,3,1,2.570707070707071
1,80,Female,20,White,ba_rec,0,0,0,0,0.5,0,3,4,2,1,4.282828282828283
1,81,Female,20,White,ba_tj,1,1,1,1,1,1,1,4,2,3,3.2474747474747474
1,82,Female,18,White,ba_ts,0,0,0,0,1,0,3,3,1,1,2.8737373737373737
1,83,Male,18,White,ba_rec,1,0.50,1,1,1,1,5,4,3,5,2.9343434343434343
1,84,Female,17,White,bp_tj,0,0,0,0,0.5,0,5,2,4,1,1.9494949494949494
1,85,Female,19,White,bp_ts,0.25,0.25,0,0,0,0,5,3,4,5,3.0707070707070705
1,86,Female,18,White,bp_rec,1,1,1,1,1,1,2,2,1,1,2.0303030303030303
1,87,Female,20,"1,5",bp_tj,1,1,1,1,0.17,0.17,4,4,1,1,1.9141414141414141
1,88,Female,18,White,ba_tj,0.50,0.50,1,0,0.5,0,5,6,4,5,3.0555555555555554
1,89,Female,18,White,bp_ts,0.25,0.25,0.25,0,1,0,5,4,3,3,1.823232323232323
1,90,Female,21,White,bp_rec,0.50,0.50,1,0.5,0,0,2,3,2,5,2.823232323232323
1,91,Male,18,Asian,ba_rec,0,0,0,0,0.27,0,3,3,4,4,3.2222222222222223
1,92,Female,18,White,ba_ts,0.25,0.25,0,0.25,0.25,0.25,3,2,2,3,3.0202020202020203
1,93,Female,18,Hispanic,ba_tj,1,0.50,1,1,0.17,0.17,2,2,1,1,1.595959595959596
1,94,Female,21,Black/African American,ba_ts,1,1,1,1,1,1,4,4,2,1,2.217171717171717
1,95,Female,18,White,bp_tj,0,0,0,0,0,0,4,4,1,1,3.398989898989899
1,96,Male,19,White,bp_ts,0.25,0.25,0.25,0.25,0.17,0.17,3,2,1,1,2.193939393939394
1,97,Female,19,White,ba_rec,0.50,0.25,0.17,0.17,1,1,5,3,1,1,2.51010101010101
1,98,Female,18,White,bp_rec,0,0,0,0,0,0,4,1,1,1,3.186868686868687
1,99,Female,18,Other,bp_tj,0.50,0.50,0.5,0.5,0.17,0.17,2,2,1,1,2.7222222222222223
1,100,Female,18,White,ba_ts,1,1,1,1,1,1,2,2,2,2,2.418181818181818
1,101,Female,20,White,bp_ts,1,1,0.5,1,0,1,3,3,1,1,2.2424242424242427
1,102,Female,19,White,ba_tj,0,0.25,0,0,0.17,0,3,3,3,1,2.0707070707070705
1,103,Female,19,"1,2",bp_rec,0.50,0,0,0,1,0,4,4,1,1,2.6565656565656566
1,104,Female,21,White,ba_rec,0.25, 0.17,0.17,0,0,0,5,5,1,1,3.1010101010101008
1,105,Female,19,Black/African American,ba_ts,0,0,0,1,0,0,4,4,5,3,3.45959595959596
1,106,Male,18,White,bp_rec,0.25,0,0,0,0,0,4,4,1,1,2.262626262626263
1,107,Male,19,White,bp_tj,1,1,2.17,0.17,2.17,0,3,2,3,3,2.0353535353535355
1,108,Male,19,Asian,ba_rec,1,1,1,1,0,0,2,4,1,5,4.3232323232323235
1,109,Male,20,Black/African American,ba_tj,0.25,0,0.25,0,0.5,0,3,4,2,1,3.308080808080808
1,110,Female,21,White,bp_ts,0.50,0.50,0,0.5,0.17,0.17,5,4,3,1,2.3434343434343434
1,111,Female,19,White,bp_ts,0.25,0,1,0,0.17,0.19,2,3,1,1,3.3686868686868685
1,112,Female,19,"1,2",ba_ts,1,0.50,0.25,0.5,0,1,5,3,1,1,2.4545454545454546
1,113,Male,20,White,bp_rec,0.50,0,1,0,0,0.5,4,4,3,2,3.898989898989899
1,114,Female,22,"1,3",bp_tj, 0.17, 0.17,0.17,0.17,0.17,0.17,2,2,1,1,2.1616161616161618
1,115,Female,17,White,ba_tj,0.50,0,0.5,0.5,0.75,0.75,5,2,3,2,2.8434343434343434
1,116,Male,19,White,ba_rec,1,0.50,0.77,0.77,0.77,0,4,5,3,1,3.4494949494949494
1,117,Female,22,Other,bp_tj,0.50,0.50,2,0.5,2,1,4,3,2,1,2.4494949494949494
1,118,Female,18,White,bp_ts, 2.00, 2.00,2,2,2,2,1,2,1,1,2.4343434343434343
1,119,Female,19,Black/African American,bp_rec,NA,0,0,0,0,0,4,4,1,1,2.1666666666666665
1,120,Female,18,"1,2",ba_rec, 3,0.25,3,1,3,0,5,3,3,1,3.797979797979798
1,121,Female,18,White,ba_tj,1,1,1,1,1,1,4,3,2,2,2.3434343434343434
1,122,Female,18,White,ba_ts,1,1,2,0,1,0,5,4,1,2,2.9242424242424243
1,123,Male,18,Hispanic,bp_rec,1,NA,1.17,0,3,1.17,1,4,1,3,2.803030303030303
1,124,Female,18,White,ba_ts,0,0.50,0.75,0.5,0.27,0.27,1,1,1,1,2.8434343434343434
1,125,Female,18,White,bp_ts,1,1,1,1,1,1,2,1,2,1,1.0555555555555556
1,126,Female,18,White,ba_rec,0,0,0,0,0,0,3,3,1,1,2.2424242424242427
1,127,Female,19,White,ba_tj,1,1,1,0,0,2,4,2,3,1,2.6414141414141414
1,128,Male,18,"1,6",bp_tj,1,0,1,1,1,1,4,5,1,3,2.2222222222222223
1,129,Female,21,White,bp_tj,0.50,0.25,1,1,1,0,4,4,3,4,2.282828282828283
1,130,Male,20,Hispanic,ba_rec, 2,1,2,1,2,0,2,5,3,4,3.0353535353535355
1,131,Female,18,White,ba_tj, 2.00,0,2,0,1.17,1.17,4,4,1,1,3.095959595959596
1,132,Female,19,White,bp_rec,0.25,0.25,0.17,0,0.17,0.17,3,2,1,1,3.292929292929293
1,133,Female,18,Hispanic,bp_ts,0.25,0.25,0.25,0,0.17,0.17,2,1,1,1,2.727272727272727
1,134,Female,19,"1,4",ba_ts,1,1,1,1,0,1,5,2,2,1,1.8333333333333333
1,135,Female,21,White,ba_tj,0.25,0,0,0,0.17,0.26,3,3,3,3,2.474747474747475
1,136,Female,18,White,ba_rec,0.25,0,0,0,0,0,4,4,5,3,3.080808080808081
1,137,Female,22,Hispanic,bp_ts,1,0,1,0,0,0,4,4,2,1,3.095959595959596
1,138,Female,19,White,bp_rec,0,0,0,0,0,0,5,5,1,1,3.515151515151515
1,139,Female,19,"1,2",bp_tj,0,0,0,0,0,0,3,2,1,1,2.54040404040404
1,140,Female,18,Hispanic,ba_ts,0,0,0,0,0,0,4,4,3,1,1.6717171717171717
1,141,Male,19,Hispanic,ba_ts,0,0,0,0,0,0,4,4,3,1,3.1363636363636362
1,142,Female,18,White,bp_ts,0,0,0,0,0.17,0.17,4,4,1,1,3.217171717171717
1,143,Female,21,White,bp_rec,0.50,NA,0,0,0,0,2,3,3,3,2.106060606060606
1,144,Female,17,Other,ba_rec,0.50,0.25,0.5,0.5,0,0,6,2,1,1,2.5606060606060606
1,145,Male,18,White,bp_tj,0.50,0,1,0,0.17,0.17,5,4,1,1,3.0606060606060606
1,146,Female,19,White,bp_ts,0.50,0.50,0.5,0.5,0.27,0.27,1,4,1,4,3.4545454545454546
1,147,Female,21,Asian,ba_tj,1,0,1,0,1,0.25,4,4,2,1,2.646464646464646
1,148,Female,19,White,ba_tj,0.25,0.25,1,0.17,0,0,4,4,3,5,1.98989898989899
1,149,Female,18,White,bp_tj,0.50,0,0,0,0,0,2,2,3,1,2.7323232323232323
1,150,Male,19,Asian,ba_ts,0.50,1,1,1,0,0,2,5,1,5,2.0555555555555554
1,151,Male,NA,White,ba_rec, 0.17,0,0.17,0,0,0,5,3,3,1,3.121212121212121
1,152,Female,18,White,bp_rec,0.50,0.25,1,0.17,0.17,0,2,5,1,3,2.227272727272727
1,153,Female,18,White,ba_tj,1, 0.17,1,0.17,1,0.83,4,4,1,1,2.898989898989899
1,154,Female,18,White,ba_ts,1,0.50,1,0.6,0,0,3,4,1,3,2.0858585858585856
1,155,Female,19,White,bp_rec,0.50,0.50,1,1,1,1,3,3,3,3,2.6666666666666665
1,156,Female,20,White,ba_rec,0,0,0,0,0.17,0.17,4,4,1,1,3.0858585858585856
1,157,Female,20,White,bp_ts,0.25,0,0.25,0,0.17,0,2,3,1,1,2.419191919191919
